,DeliveryDateTime,Price
14,2024-06-15 00:00:00+02:00,46.6
15,2024-06-16 00:00:00+02:00,83.15
16,2024-06-17 00:00:00+02:00,98.7
17,2024-06-18 00:00:00+02:00,183.68
18,2024-06-19 00:00:00+02:00,111.84
19,2024-06-20 00:00:00+02:00,95.1
20,2024-06-21 00:00:00+02:00,112.99
21,2024-06-22 00:00:00+02:00,90.54
22,2024-06-23 00:00:00+02:00,115.34
23,2024-06-24 00:00:00+02:00,118.18
24,2024-06-25 00:00:00+02:00,29.54
25,2024-06-26 00:00:00+02:00,144.48
26,2024-06-27 00:00:00+02:00,117.41
27,2024-06-28 00:00:00+02:00,98.0
28,2024-06-29 00:00:00+02:00,106.5
29,2024-06-30 00:00:00+02:00,100.25
34,2024-07-01 00:00:00+02:00,103.34
35,2024-07-02 00:00:00+02:00,84.5
36,2024-07-03 00:00:00+02:00,80.36
37,2024-07-04 00:00:00+02:00,73.5
38,2024-07-05 00:00:00+02:00,86.48
39,2024-07-06 00:00:00+02:00,153.11
40,2024-07-07 00:00:00+02:00,86.18
42,2024-07-09 00:00:00+02:00,105.0
43,2024-07-10 00:00:00+02:00,116.02
44,2024-07-11 00:00:00+02:00,86.5
45,2024-07-12 00:00:00+02:00,113.92
46,2024-07-13 00:00:00+02:00,92.48
47,2024-07-14 00:00:00+02:00,91.5
48,2024-07-15 00:00:00+02:00,100.04
49,2024-07-16 00:00:00+02:00,92.5
50,2024-07-17 00:00:00+02:00,113.05
51,2024-07-18 00:00:00+02:00,103.0
52,2024-07-19 00:00:00+02:00,97.0
53,2024-07-20 00:00:00+02:00,127.22
54,2024-07-21 00:00:00+02:00,117.84
55,2024-07-22 00:00:00+02:00,147.27
56,2024-07-23 00:00:00+02:00,103.91
57,2024-07-24 00:00:00+02:00,93.01
59,2024-07-26 00:00:00+02:00,101.96
60,2024-07-27 00:00:00+02:00,125.61
61,2024-07-28 00:00:00+02:00,118.55
62,2024-07-29 00:00:00+02:00,79.29
63,2024-07-30 00:00:00+02:00,92.56
68,2024-08-01 00:00:00+02:00,110.38
69,2024-08-02 00:00:00+02:00,106.9
70,2024-08-03 00:00:00+02:00,113.59
71,2024-08-04 00:00:00+02:00,110.04
72,2024-08-05 00:00:00+02:00,99.96
73,2024-08-06 00:00:00+02:00,128.3
74,2024-08-07 00:00:00+02:00,128.19
