,DeliveryDateTime,Price
13,2024-06-14 00:00:00+02:00,137.9
14,2024-06-15 00:00:00+02:00,80.93
15,2024-06-16 00:00:00+02:00,56.45
16,2024-06-17 00:00:00+02:00,73.5
17,2024-06-18 00:00:00+02:00,234.07
18,2024-06-19 00:00:00+02:00,194.49
19,2024-06-20 00:00:00+02:00,168.4
20,2024-06-21 00:00:00+02:00,133.87
21,2024-06-22 00:00:00+02:00,200.0
22,2024-06-23 00:00:00+02:00,110.75
23,2024-06-24 00:00:00+02:00,110.98
24,2024-06-25 00:00:00+02:00,92.27
25,2024-06-26 00:00:00+02:00,64.62
26,2024-06-27 00:00:00+02:00,129.62
27,2024-06-28 00:00:00+02:00,112.27
28,2024-06-29 00:00:00+02:00,111.96
29,2024-06-30 00:00:00+02:00,79.1
34,2024-07-01 00:00:00+02:00,109.69
35,2024-07-02 00:00:00+02:00,88.8
36,2024-07-03 00:00:00+02:00,105.35
38,2024-07-05 00:00:00+02:00,49.42
39,2024-07-06 00:00:00+02:00,166.27
40,2024-07-07 00:00:00+02:00,9.22
41,2024-07-08 00:00:00+02:00,102.85
42,2024-07-09 00:00:00+02:00,107.11
43,2024-07-10 00:00:00+02:00,70.12
44,2024-07-11 00:00:00+02:00,109.29
45,2024-07-12 00:00:00+02:00,103.67
46,2024-07-13 00:00:00+02:00,51.9
47,2024-07-14 00:00:00+02:00,97.7
48,2024-07-15 00:00:00+02:00,90.82
49,2024-07-16 00:00:00+02:00,100.38
50,2024-07-17 00:00:00+02:00,155.19
51,2024-07-18 00:00:00+02:00,103.8
52,2024-07-19 00:00:00+02:00,115.55
53,2024-07-20 00:00:00+02:00,104.51
54,2024-07-21 00:00:00+02:00,109.67
55,2024-07-22 00:00:00+02:00,123.91
56,2024-07-23 00:00:00+02:00,101.43
57,2024-07-24 00:00:00+02:00,36.5
58,2024-07-25 00:00:00+02:00,158.91
59,2024-07-26 00:00:00+02:00,114.2
60,2024-07-27 00:00:00+02:00,110.97
61,2024-07-28 00:00:00+02:00,97.53
62,2024-07-29 00:00:00+02:00,86.69
63,2024-07-30 00:00:00+02:00,85.67
64,2024-07-31 00:00:00+02:00,95.7
68,2024-08-01 00:00:00+02:00,122.5
69,2024-08-02 00:00:00+02:00,109.27
70,2024-08-03 00:00:00+02:00,124.0
71,2024-08-04 00:00:00+02:00,107.22
72,2024-08-05 00:00:00+02:00,76.36
73,2024-08-06 00:00:00+02:00,101.65
74,2024-08-07 00:00:00+02:00,97.75
75,2024-08-08 00:00:00+02:00,107.34
77,2024-08-10 00:00:00+02:00,98.24
78,2024-08-11 00:00:00+02:00,114.31
79,2024-08-12 00:00:00+02:00,123.42
80,2024-08-13 00:00:00+02:00,139.73
81,2024-08-14 00:00:00+02:00,102.91
82,2024-08-15 00:00:00+02:00,115.21
83,2024-08-16 00:00:00+02:00,109.72
84,2024-08-17 00:00:00+02:00,128.56
85,2024-08-18 00:00:00+02:00,118.5
86,2024-08-19 00:00:00+02:00,114.46
87,2024-08-20 00:00:00+02:00,97.0
88,2024-08-21 00:00:00+02:00,105.1
89,2024-08-22 00:00:00+02:00,100.0
90,2024-08-23 00:00:00+02:00,135.33
91,2024-08-24 00:00:00+02:00,178.4
92,2024-08-25 00:00:00+02:00,75.7
93,2024-08-26 00:00:00+02:00,115.0
94,2024-08-27 00:00:00+02:00,127.34
95,2024-08-28 00:00:00+02:00,115.28
96,2024-08-29 00:00:00+02:00,147.0
97,2024-08-30 00:00:00+02:00,122.91
98,2024-08-31 00:00:00+02:00,129.56
102,2024-09-01 00:00:00+02:00,100.0
103,2024-09-02 00:00:00+02:00,90.85
104,2024-09-03 00:00:00+02:00,0.0
105,2024-09-04 00:00:00+02:00,112.25
106,2024-09-05 00:00:00+02:00,110.35
107,2024-09-06 00:00:00+02:00,89.46
108,2024-09-07 00:00:00+02:00,108.0
109,2024-09-08 00:00:00+02:00,110.91
110,2024-09-09 00:00:00+02:00,86.81
111,2024-09-10 00:00:00+02:00,93.27
112,2024-09-11 00:00:00+02:00,43.0
113,2024-09-12 00:00:00+02:00,92.79
114,2024-09-13 00:00:00+02:00,105.0
115,2024-09-14 00:00:00+02:00,93.16
116,2024-09-15 00:00:00+02:00,92.05
117,2024-09-16 00:00:00+02:00,105.62
118,2024-09-17 00:00:00+02:00,104.66
119,2024-09-18 00:00:00+02:00,93.59
120,2024-09-19 00:00:00+02:00,83.01
121,2024-09-20 00:00:00+02:00,72.97
124,2024-09-23 00:00:00+02:00,101.39
125,2024-09-24 00:00:00+02:00,94.89
126,2024-09-25 00:00:00+02:00,67.51
127,2024-09-26 00:00:00+02:00,87.0
128,2024-09-27 00:00:00+02:00,30.52
129,2024-09-28 00:00:00+02:00,12.21
130,2024-09-29 00:00:00+02:00,74.99
131,2024-09-30 00:00:00+02:00,35.1
136,2024-10-01 00:00:00+02:00,0.42
137,2024-10-02 00:00:00+02:00,90.61
138,2024-10-03 00:00:00+02:00,84.27
139,2024-10-04 00:00:00+02:00,92.83
140,2024-10-05 00:00:00+02:00,99.99
141,2024-10-06 00:00:00+02:00,78.53
142,2024-10-07 00:00:00+02:00,47.42
143,2024-10-08 00:00:00+02:00,92.7
144,2024-10-09 00:00:00+02:00,72.94
145,2024-10-10 00:00:00+02:00,76.19
146,2024-10-11 00:00:00+02:00,112.6
147,2024-10-12 00:00:00+02:00,103.86
148,2024-10-13 00:00:00+02:00,20.51
149,2024-10-14 00:00:00+02:00,76.25
150,2024-10-15 00:00:00+02:00,106.68
151,2024-10-16 00:00:00+02:00,55.91
152,2024-10-17 00:00:00+02:00,37.65
153,2024-10-18 00:00:00+02:00,93.0
155,2024-10-20 00:00:00+02:00,74.95
156,2024-10-21 00:00:00+02:00,9.11
157,2024-10-22 00:00:00+02:00,125.64
158,2024-10-23 00:00:00+02:00,121.08
159,2024-10-24 00:00:00+02:00,112.5
160,2024-10-25 00:00:00+02:00,96.31
161,2024-10-26 00:00:00+02:00,120.91
162,2024-10-27 00:00:00+02:00,140.44
163,2024-10-28 00:00:00+01:00,106.79
164,2024-10-29 00:00:00+01:00,99.24
165,2024-10-30 00:00:00+01:00,125.39
166,2024-10-31 00:00:00+01:00,125.05
170,2024-11-01 00:00:00+01:00,114.13
171,2024-11-02 00:00:00+01:00,138.35
172,2024-11-03 00:00:00+01:00,113.71
173,2024-11-04 00:00:00+01:00,110.71
174,2024-11-05 00:00:00+01:00,104.65
175,2024-11-06 00:00:00+01:00,128.84
176,2024-11-07 00:00:00+01:00,136.79
177,2024-11-08 00:00:00+01:00,119.41
178,2024-11-09 00:00:00+01:00,121.02
179,2024-11-10 00:00:00+01:00,124.82
251,2024-06-14 00:15:00+02:00,113.89
252,2024-06-15 00:15:00+02:00,73.73
253,2024-06-16 00:15:00+02:00,42.27
254,2024-06-17 00:15:00+02:00,103.41
255,2024-06-18 00:15:00+02:00,99.0
256,2024-06-19 00:15:00+02:00,143.94
257,2024-06-20 00:15:00+02:00,105.85
258,2024-06-21 00:15:00+02:00,118.59
259,2024-06-22 00:15:00+02:00,200.0
260,2024-06-23 00:15:00+02:00,110.75
261,2024-06-24 00:15:00+02:00,99.05
262,2024-06-25 00:15:00+02:00,84.85
263,2024-06-26 00:15:00+02:00,98.14
264,2024-06-27 00:15:00+02:00,117.5
265,2024-06-28 00:15:00+02:00,112.27
266,2024-06-29 00:15:00+02:00,98.28
267,2024-06-30 00:15:00+02:00,68.38
272,2024-07-01 00:15:00+02:00,101.47
273,2024-07-02 00:15:00+02:00,80.06
274,2024-07-03 00:15:00+02:00,93.41
276,2024-07-05 00:15:00+02:00,46.42
277,2024-07-06 00:15:00+02:00,154.73
278,2024-07-07 00:15:00+02:00,5.54
279,2024-07-08 00:15:00+02:00,93.53
280,2024-07-09 00:15:00+02:00,101.27
281,2024-07-10 00:15:00+02:00,69.94
282,2024-07-11 00:15:00+02:00,99.93
283,2024-07-12 00:15:00+02:00,75.09
284,2024-07-13 00:15:00+02:00,49.39
285,2024-07-14 00:15:00+02:00,120.08
286,2024-07-15 00:15:00+02:00,133.43
287,2024-07-16 00:15:00+02:00,90.62
288,2024-07-17 00:15:00+02:00,100.24
289,2024-07-18 00:15:00+02:00,98.77
290,2024-07-19 00:15:00+02:00,91.05
291,2024-07-20 00:15:00+02:00,94.7
292,2024-07-21 00:15:00+02:00,93.04
293,2024-07-22 00:15:00+02:00,91.6
294,2024-07-23 00:15:00+02:00,98.46
295,2024-07-24 00:15:00+02:00,36.5
296,2024-07-25 00:15:00+02:00,150.17
297,2024-07-26 00:15:00+02:00,94.49
298,2024-07-27 00:15:00+02:00,109.63
299,2024-07-28 00:15:00+02:00,85.4
300,2024-07-29 00:15:00+02:00,60.35
301,2024-07-30 00:15:00+02:00,87.77
302,2024-07-31 00:15:00+02:00,106.3
306,2024-08-01 00:15:00+02:00,105.16
307,2024-08-02 00:15:00+02:00,103.39
308,2024-08-03 00:15:00+02:00,117.67
309,2024-08-04 00:15:00+02:00,99.0
310,2024-08-05 00:15:00+02:00,56.75
311,2024-08-06 00:15:00+02:00,98.48
312,2024-08-07 00:15:00+02:00,95.23
313,2024-08-08 00:15:00+02:00,109.92
315,2024-08-10 00:15:00+02:00,90.46
316,2024-08-11 00:15:00+02:00,113.8
317,2024-08-12 00:15:00+02:00,108.13
318,2024-08-13 00:15:00+02:00,112.81
319,2024-08-14 00:15:00+02:00,109.72
320,2024-08-15 00:15:00+02:00,133.62
321,2024-08-16 00:15:00+02:00,118.46
322,2024-08-17 00:15:00+02:00,123.21
323,2024-08-18 00:15:00+02:00,118.31
324,2024-08-19 00:15:00+02:00,104.5
325,2024-08-20 00:15:00+02:00,103.0
326,2024-08-21 00:15:00+02:00,99.91
327,2024-08-22 00:15:00+02:00,98.6
328,2024-08-23 00:15:00+02:00,93.94
329,2024-08-24 00:15:00+02:00,143.98
330,2024-08-25 00:15:00+02:00,66.42
331,2024-08-26 00:15:00+02:00,115.0
332,2024-08-27 00:15:00+02:00,127.34
333,2024-08-28 00:15:00+02:00,115.28
334,2024-08-29 00:15:00+02:00,149.44
335,2024-08-30 00:15:00+02:00,137.0
336,2024-08-31 00:15:00+02:00,113.88
340,2024-09-01 00:15:00+02:00,96.58
341,2024-09-02 00:15:00+02:00,95.81
342,2024-09-03 00:15:00+02:00,0.0
343,2024-09-04 00:15:00+02:00,105.8
344,2024-09-05 00:15:00+02:00,112.3
345,2024-09-06 00:15:00+02:00,89.33
346,2024-09-07 00:15:00+02:00,106.3
347,2024-09-08 00:15:00+02:00,90.79
348,2024-09-09 00:15:00+02:00,92.44
349,2024-09-10 00:15:00+02:00,84.73
350,2024-09-11 00:15:00+02:00,46.37
351,2024-09-12 00:15:00+02:00,87.9
352,2024-09-13 00:15:00+02:00,101.41
353,2024-09-14 00:15:00+02:00,80.89
354,2024-09-15 00:15:00+02:00,81.21
355,2024-09-16 00:15:00+02:00,93.81
356,2024-09-17 00:15:00+02:00,94.91
357,2024-09-18 00:15:00+02:00,89.2
358,2024-09-19 00:15:00+02:00,88.09
359,2024-09-20 00:15:00+02:00,78.05
362,2024-09-23 00:15:00+02:00,98.31
363,2024-09-24 00:15:00+02:00,94.96
364,2024-09-25 00:15:00+02:00,65.71
365,2024-09-26 00:15:00+02:00,77.71
366,2024-09-27 00:15:00+02:00,20.91
367,2024-09-28 00:15:00+02:00,9.21
368,2024-09-29 00:15:00+02:00,75.28
369,2024-09-30 00:15:00+02:00,20.14
374,2024-10-01 00:15:00+02:00,0.17
375,2024-10-02 00:15:00+02:00,97.66
376,2024-10-03 00:15:00+02:00,83.09
377,2024-10-04 00:15:00+02:00,87.53
378,2024-10-05 00:15:00+02:00,94.87
379,2024-10-06 00:15:00+02:00,70.05
380,2024-10-07 00:15:00+02:00,37.35
381,2024-10-08 00:15:00+02:00,79.91
382,2024-10-09 00:15:00+02:00,40.53
383,2024-10-10 00:15:00+02:00,59.06
384,2024-10-11 00:15:00+02:00,94.09
385,2024-10-12 00:15:00+02:00,85.65
386,2024-10-13 00:15:00+02:00,0.6
387,2024-10-14 00:15:00+02:00,52.61
388,2024-10-15 00:15:00+02:00,99.53
389,2024-10-16 00:15:00+02:00,42.98
390,2024-10-17 00:15:00+02:00,22.81
391,2024-10-18 00:15:00+02:00,76.08
393,2024-10-20 00:15:00+02:00,69.01
394,2024-10-21 00:15:00+02:00,0.0
395,2024-10-22 00:15:00+02:00,90.69
396,2024-10-23 00:15:00+02:00,81.05
397,2024-10-24 00:15:00+02:00,95.03
398,2024-10-25 00:15:00+02:00,90.8
399,2024-10-26 00:15:00+02:00,119.84
