DeliveryDateTime,Price
2024-06-14 00:00:00+02:00,137.9
2024-06-15 00:00:00+02:00,80.93
2024-06-16 00:00:00+02:00,56.45
2024-06-17 00:00:00+02:00,73.5
2024-06-18 00:00:00+02:00,234.07
2024-06-19 00:00:00+02:00,194.49
2024-06-20 00:00:00+02:00,168.4
2024-06-21 00:00:00+02:00,133.87
2024-06-22 00:00:00+02:00,200.0
2024-06-23 00:00:00+02:00,110.75
2024-06-24 00:00:00+02:00,110.98
2024-06-25 00:00:00+02:00,92.27
2024-06-26 00:00:00+02:00,64.62
2024-06-27 00:00:00+02:00,129.62
2024-06-28 00:00:00+02:00,112.27
2024-06-29 00:00:00+02:00,111.96
2024-06-30 00:00:00+02:00,79.1
2024-07-01 00:00:00+02:00,109.69
2024-07-02 00:00:00+02:00,88.8
2024-07-03 00:00:00+02:00,105.35
2024-07-05 00:00:00+02:00,49.42
2024-07-06 00:00:00+02:00,166.27
2024-07-07 00:00:00+02:00,9.22
2024-07-08 00:00:00+02:00,102.85
2024-07-09 00:00:00+02:00,107.11
2024-07-10 00:00:00+02:00,70.12
2024-07-11 00:00:00+02:00,109.29
2024-07-12 00:00:00+02:00,103.67
2024-07-13 00:00:00+02:00,51.9
2024-07-14 00:00:00+02:00,97.7
2024-07-15 00:00:00+02:00,90.82
2024-07-16 00:00:00+02:00,100.38
2024-07-17 00:00:00+02:00,155.19
2024-07-18 00:00:00+02:00,103.8
2024-07-19 00:00:00+02:00,115.55
2024-07-20 00:00:00+02:00,104.51
2024-07-21 00:00:00+02:00,109.67
2024-07-22 00:00:00+02:00,123.91
2024-07-23 00:00:00+02:00,101.43
2024-07-24 00:00:00+02:00,36.5
2024-07-25 00:00:00+02:00,158.91
2024-07-26 00:00:00+02:00,114.2
2024-07-27 00:00:00+02:00,110.97
2024-07-28 00:00:00+02:00,97.53
2024-07-29 00:00:00+02:00,86.69
2024-07-30 00:00:00+02:00,85.67
2024-07-31 00:00:00+02:00,95.7
2024-08-01 00:00:00+02:00,122.5
2024-08-02 00:00:00+02:00,109.27
2024-08-03 00:00:00+02:00,124.0
2024-08-04 00:00:00+02:00,107.22
2024-08-05 00:00:00+02:00,76.36
2024-08-06 00:00:00+02:00,101.65
2024-08-07 00:00:00+02:00,97.75
